Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFileCode,CountDeclFileHeader,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethodConst,CountDeclMethodFriend,CountLineInactive,CountLinePreprocessor,CountStmtEmpty,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,BugStatus
File,TezSessionPoolManager.java,15.0,1.0,12.0,2.0,3.0,,,,,3.0,4.0,2.0,31.0,,29.0,27.0,17.0,31.0,,4.0,5.0,2.0,20.0,,580.0,67.0,412.0,122.0,238.0,105.0,,182.0,279.0,108.0,197.0,,11.0,,4.0,,,"0,25",89.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezSessionPoolSession.java,7.0,0.0,7.0,1.0,2.0,,,,,3.0,0.0,3.0,17.0,,23.0,23.0,5.0,23.0,,14.0,1.0,1.0,7.0,,215.0,31.0,146.0,61.0,62.0,39.0,,70.0,109.0,51.0,64.0,,7.0,,3.0,,,"0,27",37.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezSessionState.java,14.0,1.0,11.0,2.0,2.0,,,,,3.0,3.0,7.0,55.0,,55.0,52.0,20.0,55.0,,3.0,12.0,3.0,37.0,,953.0,108.0,710.0,257.0,412.0,137.0,,365.0,497.0,231.0,329.0,,13.0,,4.0,,,"0,19",136.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezTask.java,18.0,1.0,14.0,3.0,3.0,,,,,2.0,2.0,2.0,34.0,,34.0,32.0,9.0,34.0,,5.0,6.0,1.0,22.0,,761.0,90.0,560.0,221.0,320.0,116.0,,291.0,410.0,194.0,273.0,,23.0,,4.0,,,"0,21",95.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezWalker.java,17.0,2.0,8.0,8.0,2.0,,,,,1.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,1.0,1.0,,66.0,9.0,22.0,11.0,8.0,35.0,,11.0,17.0,11.0,8.0,,3.0,,2.0,,,"1,59",4.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,TezWork.java,10.0,1.0,8.0,2.0,2.0,,,,,3.0,1.0,3.0,31.0,,29.0,30.0,14.0,31.0,,0.0,1.0,0.0,30.0,,429.0,55.0,287.0,102.0,146.0,91.0,,135.0,208.0,94.0,136.0,,8.0,,2.0,,,"0,32",64.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ThreadFactoryWithGarbageCleanup.java,4.0,0.0,4.0,0.0,1.0,,,,,1.0,1.0,1.0,3.0,,3.0,2.0,1.0,3.0,,0.0,0.0,0.0,3.0,,64.0,10.0,21.0,13.0,6.0,33.0,,12.0,16.0,12.0,6.0,,1.0,,0.0,,,"1,57",3.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ThreadPool.java,6.0,0.0,6.0,0.0,2.0,,,,,1.0,3.0,3.0,4.0,,4.0,1.0,0.0,4.0,,0.0,1.0,0.0,3.0,,63.0,8.0,35.0,15.0,14.0,20.0,,18.0,26.0,15.0,12.0,,2.0,,1.0,,,"0,57",7.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",0
File,ThreadPoolExecutorWithOomHook.java,13.0,0.0,13.0,0.0,4.0,,,,,1.0,0.0,0.0,2.0,,2.0,2.0,1.0,2.0,,0.0,0.0,1.0,1.0,,55.0,4.0,34.0,14.0,14.0,17.0,,15.0,22.0,11.0,11.0,,6.0,,3.0,,,"0,50",7.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ThreadWithGarbageCleanup.java,9.0,0.0,7.0,2.0,2.0,,,,,1.0,0.0,1.0,4.0,,4.0,4.0,1.0,4.0,,0.0,1.0,0.0,3.0,,77.0,10.0,38.0,19.0,18.0,29.0,,20.0,27.0,17.0,16.0,,2.0,,1.0,,,"0,76",6.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
File,ThriftBinaryCLIService.java,28.0,1.0,26.0,1.0,3.0,,,,,2.0,0.0,0.0,6.0,,6.0,6.0,1.0,6.0,,0.0,0.0,0.0,6.0,,173.0,14.0,138.0,57.0,88.0,21.0,,70.0,89.0,54.0,50.0,,7.0,,3.0,,,"0,15",18.0,,,,,,,,,,,0.0,0.0,"0,00","0,00",1
